"","labsampnum","pedon_key","site_key","latitude","longitude","hzn_desgn","hzn_top","hzn_bot","horizon_ap","land_cover_simple","clay_total","claysilt","ph_h2o","al_fe","ca_mg","MCI","ET","prcp_mean","temp_mean","NPP","AI","AI_factor","SOC_NPP_Ratio","SOC_NPP_Ratio_factor","fraction_quant_method","WS_mgpg_OC","POM_mgpg_OC","MAOM_mgpg_OC","fMAOM"
"1","00P00259",24743,24743,37.06,-108.71,"A",0,8,"0","shrubland",13.7,43,8.1,0.048908081675285,26.96,-0.262335494825096,1876,324.195000260137,11.2176137,0.0992272727272727,0.1321,"Arid",56.3791077684283,"high","direct measurement",5.59434510265814,1.91665685146024,3.6776882511979,0.657393883235852
"2","00P00467",24765,24765,37.62,-101.4,"Ap",0,7,"1","cropland",68,98.5,7.7,0.398331391985722,74.37,2.70948429652461,2004,549.502501912415,12.6644852,0.278109090909091,0.2115,"Arid",53.5323825852917,"high","direct measurement",14.8878422549931,2.3145133983739,12.5733288566192,0.844536679074655
"3","00P00521",24771,24771,37.78,-100.51,"A1",0,20,"0","cropland",18.3,40.2,8.4,0.0550448891489731,43.62,0.557235807231451,1892,639.995001275092,12.6755942,0.386314285714286,0.2784,"Arid",31.0439039394355,"low","direct measurement",11.9927035761459,2.12472060222378,9.86798297392212,0.822832225550045
"4","00P00666",24787,24787,39.14,-76.68,"Ap",0,33,"1","cropland",1.2,5.8,5,0.036170875726204,0.59,-1.56540532483169,1376,1322.03250052128,13.214227,0.629522727272727,0.8222,"Humid",7.91391485888674,"low","direct measurement",4.98198926537054,0.942658878866978,4.03933038650357,0.810786649939346
"5","00P00826",24802,24802,28.11,-97.32,"A",0,10,"0","forest",26.5,46.9,7.8,0.0815789374577558,35.09,0.194783690732221,1809,1112.73249837011,21.960805,0.870268181818182,0.4923,"Arid",30.1439805313995,"low","direct measurement",26.2333471298237,10.5243245116474,15.7090226181764,0.598818844596364
"6","00P01041",24818,24818,37.17,-105.08,"A",0,10,"0","forest",6.8,32.5,5.4,0.111701206554121,13.55,-0.79153633930802,1417,812.210000514984,2.7850465,0.592777272727273,0.3654,"Arid",58.9116916930408,"high","direct measurement",34.9215119335506,11.9073835558827,23.014128377668,0.659024397954468
"7","00P01709",24918,24918,35.58,-83.32,"A1",0,15,"0","forest",8.4,31.6,4.7,0.751088397156162,2.34,-0.103238491326865,1227,1914.09499638528,10.9788079,1.00788636363636,1.1705,"Humid",39.2617384782886,"low","direct measurement",39.5713708249242,9.68791818568711,29.8834526392371,0.755178605549214
"8","00P02140",24981,24981,44.77,-84.03,"A",0,5,"0","forest",1.8,16.7,5.1,0.0643374169657022,7.16,-1.19259940649393,993,953.399998113513,6.098884872,0.684009090909091,0.7119,"Humid",50.4763104641461,"high","direct measurement",34.5262552330256,11.0276830519282,23.4985721810974,0.680600083110668
"9","00P02234",24997,24997,39.14,-119.89,"A1",2,5,"0","forest",5.6,19,5.5,0.357009588260661,7.69,-0.603057220598503,1473,1350.3224953413,4.0515261,0.410286363636364,0.4968,"Arid",74.3643559631817,"high","direct measurement",30.510681192294,12.3227689855689,18.1879122067251,0.596116228677279
"10","00P02273",25005,25005,41.22,-112.03,"Ap1",0,5,"1","cropland",6,15.1,8.2,0.027614324479145,19.77,-0.651960967103637,1706,963.44250178244,10.07894,0.352563636363636,0.2958,"Arid",22.774740087758,"low","direct measurement",8.02954518257665,1.55459943656387,6.47494574601278,0.806390100408526
"11","00P02285",25007,25007,39.42,-112.65,"Ap",0,18,"1","cropland",59.3,97.9,8.3,0.128044074941545,70.89,2.02003880131905,1857,391.787498012651,10.162236,0.348895454545455,0.121,"Arid",59.7238139656583,"high","direct measurement",20.8373672207365,5.32595842801004,15.5114087927265,0.744403485738359
"12","00P04339",25374,25374,33.16,-102.38,"Ap1",0,14,"1","cropland",12,21.1,8,0.0553699745346928,14.22,-0.867576394058328,2333,628.360001184046,15.65011525,0.257395454545455,0.2009,"Arid",12.7929999255883,"low","direct measurement",3.29286003084678,0.473710025611793,2.81915000523498,0.856140248545585
"13","00P04371",25378,25378,33.87,-101.78,"A",0,8,"0","cropland",50.8,80.7,6.6,0.165075579294837,27.87,0.00558689290680608,2253,611.31749939546,14.7931969,0.274572727272727,0.2187,"Arid",52.8633034334897,"high","direct measurement",14.514821396379,3.25560792191403,11.259213474465,0.775704582715278
"14","00P05303",25538,25538,35.56,-77.43,"A1",2,4,"0","forest",9.9,38.6,4,0.140379614073257,0.56,-1.36609724466748,1427,1602.15749914199,15.761252,0.597163636363636,0.8699,"Humid",120.506616279442,"high","direct measurement",71.962169183309,39.702467933106,32.2597012502029,0.448286948772041
"15","00P07931",26028,26028,35,-99.53,"Ap1",0,15,"1","cropland",26.3,76.1,5.7,0.0878298986303794,14.38,-0.79728346803792,2062,771.337495983578,16.2222135,0.316704545454545,0.3341,"Arid",31.2188988107893,"low","direct measurement",9.88716715746247,0.867811071362547,9.01935608609992,0.912228542560084
"16","01N01767",28535,28474,46.1,-86.15,"C1",13,38,"0","forest",0.6,6.7,4.8,0.0580113065401039,0.12,-1.54611641917687,924,1032.44249989837,5.572939735,0.820022727272727,0.8631,"Humid",1.54983779442065,"low","direct measurement",1.27090221501117,0.349972092811258,0.920930122199914,0.72462704944756
"17","01N04642",26751,26747,39.73,-76.03,"A",0,8,"0","forest",22.8,95.2,5.3,0.254994950516048,10.65,-0.656079265535655,1241,1593.2499964647,11.4876305,0.61955,0.9283,"Humid",54.9759997695062,"high","direct measurement",34.0603806571976,8.55307480622414,25.5073058509734,0.748884931959305
"18","01N04678",29626,29550,27.48,-98.41,"A",0,12,"0","grassland",41.1,64,5.7,0.0920742869222374,15.4,-0.73965248322954,1961,767.077498551458,22.1958575,0.449754545454546,0.3129,"Arid",40.280203474321,"low","direct measurement",18.1162046044099,5.56091926070039,12.5552853437095,0.693041705913018
