"","pedon_key","c_stock_topsoil","NPP_MODIS_mean_2001_2022_kgC_m2","aridity_index_v3","horizon_ap","land_cover_simple","SOC_NPP_Ratio"
"73",12669,3.5085,0.254519047619048,0.0897,"1","cropland",13.7848229153024
"74",12735,5.18928,0.346942857142857,0.3242,"1","cropland",14.9571605039941
"75",12736,5.8817,0.367604761904762,0.3469,"1","cropland",16.0000647693563
"76",12738,4.797,0.282809523809524,0.2852,"1","cropland",16.9619464556323
"77",12739,4.10672,0.299319047619048,0.2842,"0","cropland",13.7202093641122
"78",12743,9.8831,0.411071428571429,0.495,"0","cropland",24.042293657689
"79",12746,3.47578,0.415771428571429,0.4855,"1","cropland",8.35983369983507
"80",12747,7.96182,0.410804761904762,0.4632,"1","cropland",19.3810314249615
"81",12748,5.57988,0.406738095238095,0.4547,"1","cropland",13.7186068020839
"82",12749,5.98296,0.366590476190476,0.3325,"1","cropland",16.320554920503
"83",12750,6.85179,0.367604761904762,0.3469,"1","cropland",18.6390131740871
"84",12949,4.50432,0.753142857142857,0.8804,"1","cropland",5.98069802731411
"85",12951,3.1056,0.633295238095238,0.8845,"1","cropland",4.9038739172281
"86",12981,21.33,0.40472380952381,0.3501,"1","cropland",52.7026073042169
"87",13055,3.66093,0.66172380952381,0.7971,"1","cropland",5.53241389732445
"88",13058,7.35,0.681671428571429,0.8335,"1","cropland",10.782320766184
"89",13172,3.03442,0.373580952380952,0.1782,"1","cropland",8.12252332636517
"90",13174,1.80585,0.549980952380952,0.1896,"1","cropland",3.28347734986493
"91",13175,1.94301,0.297038095238095,0.1625,"0","grassland",6.54128218282086
"92",13176,6.18848,0.295528571428571,0.1602,"0","grassland",20.9403780151786
"93",13177,14.80337,0.206519047619048,0.1374,"0","shrubland",71.6804099702552
"94",13178,1.96182,0.563585714285714,0.2259,"0","grassland",3.48096119236521
"95",13179,2.84886,0.433428571428571,0.2273,"1","cropland",6.57284772577455
"96",13180,3.13733,0.511333333333333,0.1922,"1","cropland",6.13558670143416
"97",13181,1.55902,0.511333333333333,0.1922,"1","cropland",3.04893089960887
"98",13183,1.504,0.438061904761905,0.189,"1","cropland",3.43330470796691
"99",13184,1.79874,0.431014285714286,0.1999,"0","grassland",4.17327234761857
"100",13186,1.73227,0.359085714285714,0.1978,"1","cropland",4.82411282622533
"101",13321,2.81724,0.252804761904762,0.2576,"0","grassland",11.1439356552205
"102",13322,3.06263,0.270271428571429,0.2602,"0","grassland",11.3316824356467
"103",13323,3.923,0.25192380952381,0.2616,"0","grassland",15.5721684560714
"104",13325,4.25681,0.22397619047619,0.2325,"0","grassland",19.0056362283406
"105",13327,5.075,0.216171428571429,0.2426,"0","grassland",23.4767380385937
"106",13341,13.62192,NA,0.0283,"1","cropland",NA
"107",13443,9.13994,0.700514285714286,0.971,"0","forest",13.0474712456155
"108",13449,5.99146,1.14214285714286,0.4405,"1","cropland",5.24580612883052
"109",13450,4.01958,1.1411619047619,0.463,"1","cropland",3.52235733003956
"110",13451,5.01296,0.871180952380952,0.4668,"0","grassland",5.75421212584997
"111",13452,3.68305,0.601295238095238,0.2924,"1","cropland",6.12519402559554
