"","site_key","pedon_key","latitude","longitude","POM_mgpg_OC","MAOM_mgpg_OC","WS_mgpg_OC","WS_mgpg_OC_calculated","clay_total","claysilt","ph_h2o","al_fe","DEC","ET","prcp_mean","temp_mean","NPP_MODIS_mean_2001_2022_kgC_m2","horizon_ap","hzn_top","hzn_bot","hzn_desgn","aridity_index_v3","land_cover_simple","labsampnum","fMAOM","SOC_NPP_Ratio","SOC_NPP_Ratio_factor","aridity_index_factor_5_8","aridity_index_factor_5_10","MCI","aridity_index_factor","fraction_quant_method"
"347",17160,17160,38.27,-88.9,1.45666620385954,12.853278245698,16.7252423482984,14.3099444495575,37,94.7,5.2,0.624407395754471,15.73,1296,1419.21250545979,12.8128158,0.559959090909091,"1",0,12,"Ap",0.8228,"cropland","90P04971",0.898206019667352,25.555339098657,"low","wet_8","mid_5_10",0.244420096981219,"Sub-humid","direct measurement"
"348",17194,17194,58.42,-134.54,0.334886649170752,0.281762592532279,0.327811210904626,0.616649241703031,0,3.7,5,0.107742201211796,2.39,641,2321.75749757653,5.4510962,0.326454545454545,"0",0,5,"A",2.3912,"forest","90P05231",0.456925223412456,1.88892833715771,"low","wet_8","wet_10",-1.28868874926771,"Humid","direct measurement"
"349",17208,17208,31.87,-87.24,8.27827504139073,7.34949296357616,17.54,15.6277680049669,22.4,43.8,4.8,0.158905074478649,6.53,1528,1988.4400010705,17.82301375,0.750152380952381,"1",0,14,"Ap",0.9407,"cropland","90P05310",0.470284237726098,20.8327913125146,"low","wet_8","mid_5_10",-1.00103569839442,"Humid","direct measurement"
"350",17211,17211,45.75,-88.32,7.08168176852316,9.01792118711053,20.2520202940245,16.0996029556337,3.9,56.1,5.1,0.14828542204568,1.63,911,1145.15499987453,4.54652305,0.901954545454545,"0",0,5,"E",0.8401,"forest","90P05338",0.560133141914218,17.8496832648259,"low","wet_8","mid_5_10",-1.25544688393,"Sub-humid","direct measurement"
"351",17294,17294,43.53,-105.46,8.80798412181571,8.99615735959361,19.5314130701285,17.8041414814093,11.2,36.6,7.2,0.124793240147652,11.66,1551,423.647500358522,7.432928535,0.178672727272727,"0",0,7,"A",0.2063,"grassland","90P05948",0.505284535566469,99.6466654602129,"high","dry_5","dry_5",-0.812622116662202,"Arid","direct measurement"
"352",17296,17296,43.53,-105.23,4.15659255044893,8.40431463931693,15.6938740103736,12.5609071897659,12.7,39.9,7,0.0929463157894737,10.83,1555,496.817500191275,7.303279185,0.163140909090909,"0",0,13,"A",0.2076,"grassland","90P05958",0.669085004159926,76.9942208840236,"high","dry_5","dry_5",-0.907494509476969,"Arid","direct measurement"
"353",17326,17326,47.8,-119.62,2.02101697051786,5.93624461964027,11.6511729506132,7.95726159015813,7.6,46.2,5.6,0.431191265104663,6.34,1337,503.350000858307,7.8672713,0.241636363636364,"1",0,15,"Ap",0.1958,"cropland","90P06196",0.746016019755146,32.9307289284197,"low","dry_5","dry_5",-0.540992986368076,"Arid","direct measurement"
"354",17339,17339,38.38,-111.6,4.11420702849849,9.51641974381218,17.7353602824539,13.6306267723107,15.3,45,7.9,0.115013758689176,49.86,1644,376.404999431688,6.88136975,0.45295,"1",0,12,"Ap1",0.155,"cropland","90P06290",0.698164501367163,30.0930053478544,"low","dry_5","dry_5",1.01123295546819,"Arid","direct measurement"
"355",17364,17364,42.19,-111.27,12.8346092792484,33.1301845057919,55.597135060655,45.9647937850403,42.1,89.2,8,0.114200789087168,64.47,1306,644.349999888334,4.7890083,0.438527272727273,"0",0,5,"A1",0.2441,"grassland","90P06444",0.720773047753223,104.816271743323,"high","dry_5","dry_5",1.71383016403794,"Arid","direct measurement"
"356",17396,17396,39.74,-88.66,2.41084590679171,8.73472113870551,12.0244002526856,11.1455670454972,14.7,89.9,7.2,0.356701230111773,15.16,1240,1245.12750020623,11.39842985,0.607631818181818,"1",0,15,"Ap",0.8096,"cropland","90P06652",0.783694638689049,18.3426323507012,"low","wet_8","mid_5_10",-0.244351801926005,"Sub-humid","direct measurement"
"357",17401,17401,39.86,-87.63,0.569192291028316,9.81828504608818,11.1854751600506,10.3874773371165,27.5,88.9,5.6,0.396664213777014,14.65,1171,1363.19749784842,11.1459643,0.4256,"1",0,20,"Ap",0.8884,"cropland","90P06693",0.945203992022733,24.4066666755557,"low","wet_8","mid_5_10",-0.200063278575202,"Sub-humid","direct measurement"
"358",17410,17410,48.73,-108.21,1.33238006532947,6.17930184050689,8.113,7.51168190583636,54.9,92.8,5,0.198655700099305,26.76,1328,305.924999654293,5.4963781,0.166695454545455,"0",0,10,"A",0.2265,"grassland","90P06761",0.822625600760031,45.0623079454639,"high","dry_5","dry_5",0.0422654443202096,"Arid","direct measurement"
"359",17582,17582,35.4,-96.09,2.03115650134476,6.92861174955422,13.1862884452348,8.95976825089899,7.7,32,5.6,0.0656622134126719,3.29,1642,1240.12500172853,16.228225,0.429852380952381,"0",0,13,"A1",0.6392,"forest","91P00861",0.77330256269285,20.8438260387153,"low","mid_5_8","mid_5_10",-1.31783269423373,"Sub-humid","direct measurement"
"360",17584,17584,35.48,-96.26,2.73388623598198,9.42212062885828,13.1822866974904,12.1560068648403,12.6,69.6,6,0.0963186752140954,9.31,1660,1190.02000237629,16.2862325,0.439595238095238,"1",0,18,"Ap",0.6112,"cropland","91P00874",0.775099975972422,27.6527264433348,"low","mid_5_8","mid_5_10",-0.974926114602662,"Sub-humid","direct measurement"
